a ,b,c
RandomForestClassifier,0.695,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['pH', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['sulphates', 'residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.695,"['sulphates', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['sulphates', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['sulphates', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.695,"['residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['free sulfur dioxide', 'pH', 'sulphates', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['free sulfur dioxide', 'pH', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'sulphates', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['sulphates', 'alcohol', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.695,"['sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.695,"['free sulfur dioxide', 'pH', 'sulphates', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.695,"['free sulfur dioxide', 'sulphates', 'residual sugar', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.69,"['pH', 'alcohol', 'chlorides']"
RandomForestClassifier,0.69,"['sulphates', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['alcohol', 'citric acid', 'chlorides']"
RandomForestClassifier,0.69,"['residual sugar', 'citric acid', 'chlorides']"
RandomForestClassifier,0.69,"['free sulfur dioxide', 'pH', 'residual sugar', 'chlorides']"
RandomForestClassifier,0.69,"['free sulfur dioxide', 'sulphates', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'alcohol', 'citric acid', 'chlorides']"
RandomForestClassifier,0.69,"['pH', 'sulphates', 'alcohol', 'chlorides']"
LogisticRegression,0.69,"['pH', 'alcohol', 'residual sugar', 'chlorides']"
SVC,0.69,"['pH', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['sulphates', 'alcohol', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['alcohol', 'residual sugar', 'citric acid', 'chlorides']"
LogisticRegression,0.69,"['alcohol', 'citric acid', 'density', 'chlorides']"
RandomForestClassifier,0.69,"['alcohol', 'citric acid', 'density', 'chlorides']"
LogisticRegression,0.69,"['free sulfur dioxide', 'pH', 'alcohol', 'residual sugar', 'chlorides']"
