a,b,c
RandomForestClassifier,0.486,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.486,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['volatile acidity', 'citric acid', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['volatile acidity', 'residual sugar', 'pH', 'alcohol']"
SVC gamma,0.484,"['citric acid', 'residual sugar', 'pH', 'alcohol']"
SVC gamma,0.484,"['residual sugar', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['volatile acidity', 'citric acid', 'residual sugar', 'pH', 'alcohol']"
SVC gamma,0.484,"['volatile acidity', 'residual sugar', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['citric acid', 'residual sugar', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['volatile acidity', 'citric acid', 'residual sugar', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.484,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['fixed acidity', 'volatile acidity', 'citric acid', 'alcohol']"
RandomForestClassifier,0.484,"['residual sugar', 'free sulfur dioxide', 'pH', 'sulphates']"
RandomForestClassifier,0.484,"['density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['citric acid', 'residual sugar', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['fixed acidity', 'volatile acidity', 'residual sugar', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.484,"['volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.484,"['volatile acidity', 'citric acid', 'residual sugar', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.484,"['citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.482,"['volatile acidity', 'density', 'pH', 'alcohol']"
SVC gamma,0.482,"['citric acid', 'density', 'pH', 'alcohol']"
SVC gamma,0.482,"['density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.482,"['volatile acidity', 'citric acid', 'density', 'pH', 'alcohol']"
SVC gamma,0.482,"['volatile acidity', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.482,"['citric acid', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.482,"['volatile acidity', 'citric acid', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.482,"['volatile acidity', 'citric acid', 'sulphates', 'alcohol']"
RandomForestClassifier,0.482,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates']"
RandomForestClassifier,0.482,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.482,"['free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.482,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.482,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.482,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.48,"['fixed acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'volatile acidity', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['volatile acidity', 'citric acid', 'residual sugar', 'density']"
RandomForestClassifier,0.48,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.48,"['volatile acidity', 'citric acid', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates']"
RandomForestClassifier,0.48,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.48,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.478,"['fixed acidity', 'volatile acidity', 'density', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'citric acid', 'density', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.478,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.478,"['residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'volatile acidity', 'citric acid', 'density', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'volatile acidity', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'citric acid', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.478,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.478,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'volatile acidity', 'citric acid', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.478,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
