a,b,c
RandomForestClassifier,0.472,"['citric acid', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.472,"['residual sugar', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.472,"['fixed acidity', 'volatile acidity', 'citric acid', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.472,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'sulphates']"
RandomForestClassifier,0.472,"['fixed acidity', 'citric acid', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.472,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
RandomForestClassifier,0.472,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.472,"['volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.472,"['volatile acidity', 'citric acid', 'residual sugar', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.472,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
RandomForestClassifier,0.472,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.472,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'density', 'pH', 'alcohol']"
SVC gamma,0.47,"['volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'density', 'pH', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'citric acid', 'density', 'pH', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'citric acid', 'density', 'pH', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'citric acid', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.47,"['fixed acidity', 'volatile acidity', 'citric acid', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['volatile acidity', 'residual sugar', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['citric acid', 'residual sugar', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'volatile acidity', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH']"
RandomForestClassifier,0.47,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.47,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.47,"['citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'volatile acidity', 'citric acid', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.47,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.47,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['fixed acidity', 'residual sugar', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.468,"['volatile acidity', 'citric acid', 'pH', 'alcohol']"
SVC gamma,0.468,"['volatile acidity', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['citric acid', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.468,"['fixed acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.468,"['fixed acidity', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['volatile acidity', 'citric acid', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
SVC gamma,0.468,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['fixed acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
SVC gamma,0.468,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
SVC gamma,0.468,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.468,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.468,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
SVC gamma,0.468,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.468,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.468,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'citric acid', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide']"
RandomForestClassifier,0.468,"['residual sugar', 'free sulfur dioxide', 'density', 'pH']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'citric acid', 'density', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'citric acid', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'citric acid', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.468,"['volatile acidity', 'citric acid', 'residual sugar', 'pH', 'alcohol']"
RandomForestClassifier,0.468,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.468,"['citric acid', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'citric acid', 'residual sugar', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates']"
RandomForestClassifier,0.468,"['volatile acidity', 'citric acid', 'residual sugar', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates']"
RandomForestClassifier,0.468,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.468,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.466,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density']"
SVC gamma,0.466,"['volatile acidity', 'free sulfur dioxide', 'density', 'sulphates']"
SVC gamma,0.466,"['citric acid', 'free sulfur dioxide', 'density', 'sulphates']"
SVC gamma,0.466,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'citric acid', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
SVC gamma,0.466,"['fixed acidity', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.466,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'density', 'sulphates']"
SVC gamma,0.466,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH']"
SVC gamma,0.466,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH']"
SVC gamma,0.466,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
SVC gamma,0.466,"['fixed acidity', 'citric acid', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.466,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH']"
SVC gamma,0.466,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates']"
SVC gamma,0.466,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.466,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
SVC gamma,0.466,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates']"
SVC gamma,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates']"
RandomForestClassifier,0.466,"['fixed acidity', 'citric acid', 'density', 'alcohol']"
RandomForestClassifier,0.466,"['volatile acidity', 'residual sugar', 'pH', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide']"
RandomForestClassifier,0.466,"['fixed acidity', 'citric acid', 'residual sugar', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
RandomForestClassifier,0.466,"['volatile acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.466,"['volatile acidity', 'residual sugar', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
RandomForestClassifier,0.466,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'volatile acidity', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.466,"['volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.466,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH']"
RandomForestClassifier,0.466,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates']"
RandomForestClassifier,0.466,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'citric acid', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'citric acid', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'citric acid', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'citric acid', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.464,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
SVC gamma,0.464,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.464,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'free sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.464,"['citric acid', 'residual sugar', 'total sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.464,"['citric acid', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['residual sugar', 'total sulfur dioxide', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates']"
RandomForestClassifier,0.464,"['fixed acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'citric acid', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['residual sugar', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['residual sugar', 'free sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'pH', 'sulphates']"
RandomForestClassifier,0.464,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['volatile acidity', 'citric acid', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
RandomForestClassifier,0.464,"['citric acid', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
RandomForestClassifier,0.464,"['fixed acidity', 'volatile acidity', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide']"
SVC gamma,0.462,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates']"
SVC gamma,0.462,"['residual sugar', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'sulphates']"
SVC gamma,0.462,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.462,"['volatile acidity', 'residual sugar', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['citric acid', 'residual sugar', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['residual sugar', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'sulphates']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'citric acid', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'total sulfur dioxide', 'density', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['volatile acidity', 'residual sugar', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['citric acid', 'residual sugar', 'total sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'free sulfur dioxide', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'citric acid', 'residual sugar', 'total sulfur dioxide', 'density', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'citric acid', 'total sulfur dioxide', 'density', 'pH', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'total sulfur dioxide', 'density', 'pH']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'density', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'free sulfur dioxide', 'pH', 'sulphates', 'alcohol']"
SVC gamma,0.462,"['fixed acidity', 'volatile acidity', 'residual sugar', 'total sulfur dioxide', 'density', 'sulphates', 'alcohol']"
